Variables=time,rho,Cd,Cs,Cl
      10     1.0000  4903.8932    -0.0000    -0.0000
      20     1.0000  -451.1530     0.0000    -0.0000
      30     1.0000  1958.5415    -0.0000    -0.0000
      40     1.0000  1427.1741    -0.0000    -0.0000
      50     1.0000   492.4461    -0.0000     0.0000
      60     1.0000  1345.3860    -0.0000    -0.0000
      70     1.0000  1013.2837    -0.0000    -0.0000
      80     1.0000   810.7639    -0.0000    -0.0000
      90     1.0000  1041.6278    -0.0000     0.0000
     100     1.0000   893.3041     0.0000    -0.0000
     110     1.0000   855.7531    -0.0000    -0.0000
     120     1.0000   906.8643     0.0000     0.0000
     130     1.0000   846.1633    -0.0000    -0.0000
     140     1.0000   837.0612     0.0000    -0.0000
     150     1.0000   841.0891     0.0000    -0.0000
     160     1.0000   815.2368    -0.0000     0.0000
     170     1.0000   809.1605    -0.0000     0.0000
     180     1.0000   803.1505     0.0000    -0.0000
     190     1.0000   790.2226     0.0000    -0.0000
     200     1.0000   784.2098    -0.0000    -0.0000
     210     1.0000   777.3185    -0.0000     0.0000
     220     1.0000   769.2933    -0.0000    -0.0000
     230     1.0000   763.6259     0.0000     0.0000
     240     1.0000   757.6157     0.0000     0.0000
     250     1.0000   751.7054     0.0000     0.0000
     260     1.0000   746.6702     0.0003     0.0003
     270     1.0000   741.7465     0.0013     0.0013
     280     1.0000   737.4676     0.0016     0.0016
     290     1.0000   734.0915    -0.0019    -0.0019
     300     1.0000   730.6887    -0.0045    -0.0045
     310     1.0000   726.4175    -0.0004    -0.0004
     320     1.0000   721.4698     0.0030     0.0030
     330     1.0000   716.8115     0.0011     0.0011
     340     1.0000   712.9943    -0.0009    -0.0009
     350     1.0000   709.7689    -0.0005    -0.0005
     360     1.0000   706.7548     0.0003     0.0003
     370     1.0000   703.9012     0.0004     0.0004
     380     1.0000   701.5957     0.0000     0.0000
     390     1.0000   700.4719    -0.0003    -0.0003
     400     1.0000   700.0391    -0.0003    -0.0003
     410     1.0000   697.6975    -0.0006    -0.0006
     420     1.0000   691.7952    -0.0006    -0.0006
     430     1.0000   685.0276     0.0005     0.0005
     440     1.0000   681.2552     0.0015     0.0015
     450     1.0000   680.6278     0.0015     0.0015
     460     1.0000   680.6451     0.0059     0.0059
     470     1.0000   679.9438     0.0288     0.0288
     480     1.0000   679.3057     0.0808     0.0808
     490     1.0000   679.8081     0.1265     0.1265
     500     1.0000   680.3312     0.0719     0.0719
     510     1.0000   677.5822    -0.1077    -0.1077
     520     1.0000   670.2711    -0.2542    -0.2542
     530     1.0000   662.0912    -0.2007    -0.2007
     540     1.0000   657.9178    -0.0052    -0.0052
     550     1.0000   658.3707     0.1474     0.1474
     560     1.0000   660.3679     0.1859     0.1859
     570     1.0000   661.4716     0.1565     0.1565
     580     1.0000   661.5599     0.0794     0.0794
     590     1.0000   660.9950    -0.0591    -0.0591
     600     1.0000   659.2310    -0.1948    -0.1948
     610     1.0000   655.8591    -0.2047    -0.2047
     620     1.0000   651.6874    -0.0663    -0.0663
     630     1.0000   647.8391     0.0984     0.0984
     640     1.0000   644.7883     0.1589     0.1589
     650     1.0000   643.1038     0.0916     0.0916
     660     1.0000   643.8871    -0.0284    -0.0284
     670     1.0000   647.1120    -0.0991    -0.0991
     680     1.0000   650.3306    -0.0704    -0.0704
     690     1.0000   650.5072     0.0212     0.0212
     700     1.0000   647.0276     0.0931     0.0931
     710     1.0000   642.1860     0.0873     0.0873
     720     1.0000   638.9413     0.0080     0.0080
     730     1.0000   638.5073    -0.0836    -0.0836
     740     1.0000   639.7622    -0.1137    -0.1137
     750     1.0000   640.6524    -0.0604    -0.0604
     760     1.0000   640.1178     0.0265     0.0265
     770     1.0000   638.6135     0.0781     0.0781
     780     1.0000   636.9769     0.0669     0.0669
     790     1.0000   635.3050     0.0162     0.0162
     800     1.0000   633.1351    -0.0311    -0.0311
     810     1.0000   630.3676    -0.0453    -0.0453
     820     1.0000   627.6531    -0.0259    -0.0259
     830     1.0000   625.9173     0.0048     0.0048
     840     1.0000   625.6363     0.0250     0.0250
     850     1.0000   626.4368     0.0289     0.0289
     860     1.0000   627.2434     0.0234     0.0234
     870     1.0000   627.0040     0.0147     0.0147
     880     1.0000   625.5890     0.0025     0.0025
     890     1.0000   624.0018    -0.0137    -0.0137
     900     1.0000   623.4811    -0.0285    -0.0285
     910     1.0000   624.2956    -0.0324    -0.0324
     920     1.0000   625.4957    -0.0210    -0.0210
     930     1.0000   625.8463    -0.0008    -0.0008
     940     1.0000   624.8792     0.0177     0.0177
     950     1.0000   623.0684     0.0288     0.0288
     960     1.0000   621.2396     0.0337     0.0337
     970     1.0000   619.9673     0.0344     0.0344
     980     1.0000   619.3617     0.0290     0.0290
     990     1.0000   619.1539     0.0148     0.0148
    1000     1.0000   618.9348    -0.0036    -0.0036
    1010     1.0000   618.4863    -0.0136    -0.0136
    1020     1.0000   617.9880    -0.0067    -0.0067
    1030     1.0000   617.7889     0.0098     0.0098
    1040     1.0000   617.8612     0.0176     0.0176
    1050     1.0000   617.5961     0.0068     0.0068
    1060     1.0000   616.3600    -0.0143    -0.0143
    1070     1.0000   614.2353    -0.0280    -0.0280
    1080     1.0000   611.9824    -0.0233    -0.0233
    1090     1.0000   610.2186    -0.0040    -0.0040
    1100     1.0000   608.8699     0.0158     0.0158
    1110     1.0000   607.5879     0.0188     0.0188
    1120     1.0000   606.5048    -0.0022    -0.0022
    1130     1.0000   606.2904    -0.0348    -0.0348
    1140     1.0000   607.4326    -0.0531    -0.0531
